,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNet,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EscrowDepositDisbursementsRelatedToPropertyAcquisition1,ExplorationExpense,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentLossesRelatedToRealEstatePartnerships,ImpairmentOfLongLivedAssetsHeldForUse,ImpairmentOfOngoingProject,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InventoryFinishedGoods,InventoryNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Land,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesRentExpenseMinimumRentals,OperatingLossCarryforwards,OtherNonoperatingIncomeExpense,PaymentsForProceedsFromRealEstatePartnershipInvestmentNet,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireBusinessesGross,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRecoveriesOfLoanPreviouslyChargedOff,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,RetainedEarningsUnappropriated,RevenueFromRelatedParties,Revenues,SalariesAndWages,SaleOfStockPricePerShare,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,SponsorFees,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DeferredTaxAssetsNet,EarningsPerShareBasic,EffectiveIncomeTaxRateContinuingOperations,PartnersCapitalAccountPrivatePlacementOfUnits,PartnersCapitalAccountUnitsSoldInPrivatePlacement,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensation,TreasuryStockRetiredCostMethodAmount,TreasuryStockSharesRetired,CashEquivalentsAtCarryingValue,ProceedsFromIssuanceOfMediumTermNotes,DebtInstrumentDecreaseForgiveness,StockIssuedDuringPeriodValueConversionOfUnits,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,y
10,7000,5032.0,3317739.0,,0.0,,,,,,,432833.0,,214.0,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,19174.0,3528.0,,,,,,0.0,7000.0,,,,,,-210225.0,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,19085.0,,,,,,,,-3392768.0,,,,,,,,,,,,,,,,,,,,41029000.0,,0.0,,,,,,,,,,,,,0
11,7000,,3317739.0,,0.0,,,,,,,,0.0,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,508.0,4370.0,12138888.0,1137408.0,1137408.0,,,-0.03,,,,602450.0,5049.0,,,,,,,17261.0,,,-54.0,,,,,3492.0,,,41380.0,,,0.0,,,19085.0,,-29419.0,,-1270615.0,1270615.0,-1270615.0,,,,,,,,,,,,0.001,10000000.0,0.0,,,,,,,,,36200.0,-47073.0,,,,-3392768.0,,,1835.0,3520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,7000,,,,,,,,,,,,91.0,,,,,,,27000.0,,,1142.0,30000000.0,746200.0,746200.0,,,-0.03,,,,300255.0,,,,,,,,,,,,,,,,,,,21120.0,,,,7000.0,,,,-18994.0,,-932220.0,932220.0,-932220.0,,,,,,,,,,,,,,,,,,,,70731.0,,,36200.0,,,,,,,,5612.0,5580.0,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
13,7000,,,,,19338.0,,,,,,70.0,767.0,,,,,,,27000.0,,148.0,1142.0,30000000.0,,,,150833.0,,,,,609450.0,51.0,,,,,,,2070.0,,,,,,,,,,,,,,,7000.0,,80722.0,,,,-1277615.0,1277615.0,-1277615.0,,,,,,,,,,,,,,,,,,,,86722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,7000,,3317739.0,,0.0,19338.0,,,,,,70.0,1008.0,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,3553580.0,746252.0,,150833.0,0.0,,,,,,,,,,,,,,,,,,,,,,,5654.0,,,0.0,7000.0,,,,-31963.0,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,26101.0,,,,,-3392768.0,,,5582.0,,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
15,7000,,3317739.0,,0.0,19338.0,,,,,,70.0,94.0,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,4768.0,,,3702218.0,777466.0,,150833.0,,,,,14941.0,-22.0,,,,,,,2070.0,,,,,,,,,,,,,,0.0,,,,,,,-44562.0,44562.0,-44562.0,,,,,,,,,,,,0.001,10000000.0,,,,,,,33029.0,,,,,,,,-3392768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,7000,,,,,8757.0,,,,,,,,,,,,,,27000.0,,195.0,,,3721136.0,781438.0,,242362.0,-1.48,,,,1883.0,,,,,,,,,,,,,,,,,,,49468.0,,,,7000.0,,75875.0,,-80628.0,,-7963.0,7963.0,-7963.0,,,,,,,,,,,,,,,,,,,,,,,22778.0,,,,,,,,6180.0,,,,,-7000.0,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
17,7000,,,,,8757.0,,,,,,,,,,,,,,27000.0,,249.0,,,3749291.0,787351.0,,242362.0,,,,,14241.0,,,,,,,,14035.0,,,,,,,,,,,,,,,7000.0,,,,-32245.0,,-74279.0,74279.0,-74279.0,,,,,,,,,,,,,,,,,,,,91529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,7000,,3317739.0,,0.0,8757.0,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,91.0,362.0,9526316.0,3778255.0,793434.0,,242362.0,,,,,,,,,,,,,1602.0,,,,,,,,,,,12606.0,,,0.0,7000.0,,136702.0,,,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,91529.0,,,,,,,,-3392768.0,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,7000,,3317739.0,,0.0,8757.0,,,,,,161.0,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,362.0,9526316.0,3788168.0,795515.0,,242362.0,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,-58216.0,,,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,3200.0,,,,,-3392768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,7000,,,,,9025.0,,,,,,,,,,,,,,27000.0,,,,,,,,329824.0,-0.07097,,,,2409.0,,,,,,,,1355.0,,,,,,,,,,,44056.0,,,,7000.0,,87462.0,,,,-34033.0,12969.0,-30066.0,,,,,,,,,,,,,,,,,,,,87462.0,,,,,,,,,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
21,7000,,,,,9025.0,,,,,,164.0,,,,,,,,27000.0,,,,,,,,,0.0,,,,8860.0,,,,,,,,,,,,,,,,,,,,,,,7000.0,,1048.0,,-21641.0,,,,-86533.0,,,,,,,,,,,,,,,,,,,,87462.0,,,7109.0,,,,,,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,7000,,3317739.0,,0.0,8875.0,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,-0.00028,,,,23244.0,,,,,,,,-2777.0,,,,,,,,,,,,,,0.0,7000.0,,,,,,-12969.0,65934.0,,,,,,,,,,,,,0.001,10000000.0,,,,,,,1048.0,,,,,,,,-3392768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,7000,,3317739.0,,0.0,,,,,,,164.0,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,-49019.0,,-12969.0,64373.0,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,12176.0,,,,,-3392768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,7000,,,,,,,,,,,,,,,,,,,27000.0,,,,,,,,,-8e-05,,,,15064.0,,,,,,,,,,,,,,,,,,,,,,,7000.0,,,,,,-86533.0,33812.0,-148638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000.0,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,0
25,7000,,,,,,,,,,,,,,,,,,,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8745.0,,,,,,,,,,,,,-7000.0,,1000000.0,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
26,7000,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,-33847.0,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,10876.0,,,,,-3392768.0,,,,,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
27,7000,,,,,,,,,,,638.0,,,,,,,,27000.0,,,,,,,,,,,,,9877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24276.0,-47073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,7000,,,,,,,,,,,143.0,,,,,,,,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0,,,,,,-69445.0,,-10732.0,,,,,,,,,,,,,,,,,,,,,,,3783.0,,,,,,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,7000,,,,,,,,,,,143.0,,,,,,,,27000.0,,,,,,,,,,,,,26065.0,,,,,,,,,,,,,,,,,,,,,,,7000.0,,,,,,,150050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,7000,,3317739.0,,0.0,,,,,,,143.0,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,-19416.0,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,15074.0,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
31,7000,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,2580.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,18969.0,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,11291.0,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,7000,,,,,,,,,,,7.0,,,,,,,,27000.0,,,,,,,,,,,,,9915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28155.0,86086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,7000,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7000.0,,,,,,-28964.0,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,7000,,,,,,,,,,,,,,,,,,,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0,,,,,,-85950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000.0,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
35,7000,,3317739.0,,0.0,,,,,,,,,,0.001,,290000000.0,41029000.0,41029000.0,27000.0,41029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,-10732.0,,,,,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,,,,,-3392768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,7000,,,,,,,,,,,,,,,,,,,27000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,24261,,3358628.0,,,,,,,,,,,,,,,140235.0,140235.0,27000.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41029000.0,,,,,,,,,,,,,,,0
