,AccountsPayableCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccretionExpense,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ConvertibleDebtNoncurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfServicesLicensesAndServices,CumulativeEarningsDeficit,DebtInstrumentConvertibleBeneficialConversionFeature,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DerivativeGainOnDerivative,DerivativeLiabilitiesCurrent,DerivativeLiabilitiesNoncurrent,DerivativeLossOnDerivative,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FairValueAssumptionsExercisePrice,FairValueAssumptionsExpectedDividendRate,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FederalIncomeTaxExpenseBenefitContinuingOperations,GainLossOnSaleOfDerivatives,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseLongTermDebt,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicenseAndServicesRevenue,LicenseCosts,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseDirectorsFees,NoninterestExpenseTransferAgentAndCustodianFees,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherExpenses,PaymentsToAcquireInvestments,PaymentsToAcquireOtherReceivables,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseCurrent,ProceedsFromCollectionOfOtherReceivables,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,y
10,11194,10860.0,,26451.0,-10600.0,59129.0,,,,-6523.0,,,,,57600000.0,,,,57600.0,,,,,,,,,,215543.0,,,318234.0,,,,133817.0,,,,,,,,,,,-550962.0,,,,,67310.0,12768.0,,,,5872.0,,24000.0,11194.0,59129.0,29943.0,,,5000.0,132200.0,,-6523.0,,,,50959.0,,110720.0,,,,,,,0.0,,,,,,,-1070763.0,,,,,,,,,,,0
11,29943,150746.0,,,-10600.0,26279.0,,,,,,0.001,,200000000.0,57600000.0,,,,57600.0,,,,,,,,,,,,19591.0,,,,,,,-0.0875,,,,,,,,,,,,-1019113.0,,98166.0,,,,,37528.0,,,29943.0,26279.0,540042.0,,,,,,,-51050.0,7500.0,5830.0,,,,21616.0,,,,0.001,100000000.0,,,,,37000.0,77821.0,,-1070763.0,-4650.0,,,,,,,,11642192.0,,0
12,216680,,,,545280.0,26279.0,,77.0,,-6447.0,,0.001,,200000000.0,11520000.0,,,,11520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019113.0,,42394.0,,,,,17600.0,,,531272.0,26279.0,370265.0,,,5000.0,229180.0,,-182694.0,,,,126494.0,,,,,,,0.001,100000000.0,,,,,174500.0,,,,,,,,,,,,,,0
13,254070,,,,545280.0,,,,,,,0.001,,200000000.0,11720000.0,,,,11720.0,,,,,,,,,,,,13937.0,,,,,,,-0.01,,,,,,,,,,,,154065.0,,21660.0,,,,,,,,444003.0,,388050.0,,,,,,,,15000.0,1490.0,,,,145.0,,,,0.001,100000000.0,,,,,189500.0,13063.0,,-1224828.0,,,,,,,,,11743889.0,,0
14,85562,,,,545280.0,5970.0,,97.0,,-6475.0,,0.001,,200000000.0,11720000.0,,,,11720.0,,,,,,,,,,,,,,,,,,,-0.0131,,,,,,,,,,,,-154065.0,,20495.0,,,,,34544.0,,,540042.0,5970.0,322164.0,,,5000.0,19950.0,,-235655.0,-25272.0,,,277040.0,,,,,,,0.001,100000000.0,,,,,334500.0,,,-1399061.0,-29922.0,,,,,,,,,,0
15,85562,,,,,340.0,,,,,,,,,,,,,,,,,,,,,,,,,6444.0,,,,,,,-0.0279,,,,,,,,,,,,328298.0,,39456.0,,,,,,,,540042.0,340.0,322164.0,,,,,,,,15000.0,13755.0,,,,1340.0,,,,,,,,,,,27057.0,,-2517356.0,-459663.0,,,,,,,,11778242.0,,0
16,279879,,,,,62.0,,69.0,,313.0,,,,,11720000.0,,,,11720.0,,,,,,,,,,,,,,,,,,,-0.0278,,,,,,,,,,,,,,52453.0,,,,,7744.0,,,540042.0,62.0,322164.0,,,998.0,62950.0,,-19637.0,-965013.0,,,125522.0,,,,,,,,,,,,,,,,-1663662.0,-384874.0,,,,,,,,,,0
17,302955,,,,545280.0,2865.0,,69.0,,,,,,,11720000.0,,,,11720.0,,,,,,,,,,,,18819.0,,,,,,,-0.0148,,,,,,,,,,,,174233.0,,,,,,,,,,540042.0,2865.0,322164.0,,,,,,,,,12265.0,,,,1195.0,,,,,,,,,,,13994.0,,-1663662.0,-513763.0,,,,,,,,11812222.0,,0
18,302955,,,,,2865.0,,69.0,,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29170.0,,,,2865.0,,,,998.0,91950.0,,-62679.0,-939740.0,,,369680.0,,,,,,,,,,,,,,,,-1663662.0,,,,,,,,,,,0
19,370265,,,,601230.0,2865.0,,,,,,0.001,,200000000.0,11770000.0,,,,11770.0,,,,,,,,,,,,132387.0,,,,,,,-0.1227,,,,,,,,,,,,1446593.0,,,,,,,,,,617798.0,2865.0,306606.0,,,90998.0,,,,,,15009.0,,,,1488.0,,,,0.001,100000000.0,,,,,,36363.0,,-1663662.0,-513763.0,,,,,,,,11792161.0,,0
20,341962,,,,678680.0,2865.0,,,,-7.0,,0.001,,200000000.0,11820000.0,,,,11820.0,,,,,,,,,,,,423908.0,,,,,,,-0.123,,,,,,,,,,,,,,,,,,,8489.0,,,708901.0,2865.0,309915.0,,,,110450.0,,-91957.0,-890224.0,,,157697.0,,,,,,,0.001,100000000.0,,,,,,,,,-513763.0,,,,,,,,,,0
21,131900,,,,678680.0,,,69.0,,,,0.001,,200000000.0,11820003.0,,,,11820.0,,,,,,,,,,,,291521.0,,,,,,,-0.095,,,,,,,,,,,,1118296.0,,,,,,,11962.0,,,686918.0,,362278.0,,,,,,,,,1254.0,,,,148.0,,,,0.001,100000000.0,,,,,,9306.0,,-2007147.0,-513763.0,,,,,,,,11820003.0,,0
22,127956,,,,678680.0,18370.0,,,,2796.0,,0.001,,200000000.0,11820003.0,,,,11820.0,,,,,,,,,,,,423908.0,,,,,,,0.095,,,,,,,,,,,,-1118296.0,,,,,,,3473.0,,,748027.0,18370.0,470610.0,,,,37000.0,,-107654.0,74788.0,,,294739.0,,,,,,,0.001,100000000.0,,,,,,,,-1838104.0,,,,,,,,,,,0
23,127956,,,,,100031.0,,,,,,,,,11820000.0,,,,,,,,,,,,,,,,423908.0,,,,,,,-0.0503,,,,,,,,,,,,-592899.0,,,,,,,35686.0,,,748027.0,100031.0,,,,,174500.0,,,,,19339.0,,,,9746.0,,,,,,,,,,,44188.0,,-1895964.0,-611828.0,,,,,,,,11798962.0,,0
24,127956,,,,,102455.0,,382.0,,5126.0,,,,,11820003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23724.0,,,748027.0,102455.0,,,,,189500.0,,-31874.0,-1019113.0,,,137042.0,,,,,,,,,,,,,,,,-2115594.0,-708561.0,,,,,,,,,,0
25,127956,,,,678680.0,136157.0,,,,-2834.0,,,,,11820003.0,,,,11820.0,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,,343485.0,,,,,,,51387.0,,,748027.0,136157.0,,,,,334500.0,,-77334.0,,,3590.0,,,,10378.0,,,,,,,,,,,9595.0,,,-686856.0,,,,,,,,11820003.0,,0
26,149616,,,,678680.0,,,,,3292.0,,0.001,,200000000.0,11820003.0,,,,11820.0,,,,,,,,,,,,,,,,,,,0.0143,,,,,,,,,,,,-169044.0,,,,,,,,,,1083017.0,,,,,,,,-201208.0,,,8665.0,,,,14294.0,,,,0.001,100000000.0,,,,,,14388.0,,,-745162.0,,,,,,,,11868889.0,,0
27,149647,,,,1261271.0,,,62.0,,,,0.001,,200000000.0,11870003.0,,,,11870.0,,,,,,,,,,,,,,,,,,,-0.0196,,,,,,,,,,,,232302.0,,,,,,,,,,316994.0,,,,,,,,,328298.0,,13605.0,11708.0,,,26873.0,,,,0.001,100000000.0,,,,,,28246.0,,,-745162.0,,,,,,,,11853245.0,,0
28,144925,,,,1276271.0,,,,,,,0.001,,200000000.0,11870000.0,,,,11870.0,,,,,,,,,,,,,,,,,,,-0.0049,,,,,,,,,,,,57860.0,,,,,,,,,,362278.0,,,,,,,,,-328298.0,,1350.0,,,,2201.0,,,,0.001,100000000.0,,,,,,4262.0,,,-745162.0,,,,,,,,11870003.0,,0
29,144874,,,,1421271.0,,,2865.0,,,,0.001,,200000000.0,11870003.0,,,,11870.0,,,,,,,,,,,,,,,,,,,-0.0381,,,,,,,,,,,,-451932.0,,,,,,,,,,470610.0,,,,,,,,,174233.0,,19985.0,338360.0,,,20868.0,,,,0.001,100000000.0,,,,,,43364.0,,,,,,,,,,,11857480.0,,0
