,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CommonUnitOutstanding,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityMethodInvestmentOwnershipPercentage,FederalIncomeTaxExpenseBenefitContinuingOperations,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherIncome,PartnersCapitalAccountContributions,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
10,4600,,36980.0,,,842.0,842.0,567.0,1838.0,-566.0,,,,,,,,,5073.0,,,,,,,,,,,,,,26509.0,,,,,,130.0,,-10591.0,,,,,,1000.0,,,,,,-13866.0,,34706.0,842.0,8271.0,21037.0,,-22033.0,-10591.0,,,7244.0,,,,,,,,,,,,,,7114.0,,-76007.0,,91.0,-33864.0,,,,,,0
11,4600,,,4312.0,,,,567.0,,-567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10177.0,,-3903.0,0.0,,,,,,,,,,,,29786.0,,12356.0,16117.0,,-18712.0,,,,,,,,,,,,,,,,,,,,-71087.0,,,,,,,,5163000.0,0
12,4660,,36980.0,,,888.0,888.0,567.0,,,,,,,0.001,45000000.0,5163000.0,5163000.0,5073.0,,,,,,,,,,,,,,26509.0,0.0,,,,,1206.0,,-24043.0,,,,,,4500.0,,,,,,-6177.0,,41391.0,888.0,12583.0,2600.0,,-2554.0,-24043.0,,,10421.0,,,,,0.001,5000000.0,0.0,0.0,,,,,,9215.0,,-82646.0,,244.0,-28944.0,,,,,5073000.0,0
13,4600,,37980.0,6446.0,,789.0,789.0,1.0,,,,,,,0.001,45000000.0,5163000.0,5163000.0,5073.0,,,,,,,,,,,,,,26509.0,,,,,,,-2701.0,,-7434.0,,,,,,,,,,,,,47941.0,789.0,100.0,11370.0,,,,,,,,,,,0.001,5000000.0,0.0,0.0,,,,,,,,-90295.0,,,-40503.0,,,,,5183330.0,0
14,4201,,37870.0,,,1685.0,1685.0,,,,,,,,0.001,45000000.0,5273000.0,5273000.0,5073.0,,,,,,,,,,,,,,26509.0,,,,,,951.0,,-8878.0,,,,,,-399.0,,,,,,-18176.0,,56135.0,1685.0,,8923.0,,-8976.0,-8878.0,,,2751.0,,,,,0.001,5000000.0,0.0,0.0,,,,,,1800.0,,-97593.0,,50.0,-47152.0,,,,,,0
15,1200,,37070.0,6446.0,,1067.0,1067.0,,,,,,,,,,5073000.0,5073000.0,5073.0,,,,,,,,,,,,,,,,,,,,,-16331.0,,-699.0,,,,,,,,,,,-14092.0,,69010.0,1067.0,,,,,,,,,,,,,,,,,,,,,,,,-110086.0,,,-54450.0,,,,,5252674.0,0
16,9623,,37070.0,,,1067.0,1067.0,,1816.0,,,,,,,,5073000.0,5073000.0,,,,,,,,,,,,,,,,-0.01,,,,,1383.0,-3854.0,-34507.0,,,,,,-3400.0,,,,,,-2785.0,,69010.0,1067.0,,14983.0,,-15140.0,-34507.0,,,16714.0,,,,,,,,,,,,,,15331.0,,-110086.0,,383.0,-67943.0,,,,,5073000.0,0
17,13559,,37070.0,,,1067.0,1067.0,,,,,,,,,,5073000.0,5073000.0,,,,,,,,,,,,,,,,,,,,,,,-29587.0,-10983.0,,,,,,,,,,,,,69010.0,1067.0,,,,,-29587.0,,,,,,,,,,,,,,,,,,,-110086.0,,,-67943.0,,,,,5073000.0,0
18,13559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-625.0,,,,,-5023.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,-67943.0,,,,,5073000.0,0
19,13559,,37070.0,,,1.0,1.0,,576.0,,,,,,0.001,45000000.0,5073000.0,5073000.0,,,,,,,,,,,,,,,,0.0,,,,,349.0,-6122.0,-14288.0,-1250.0,,,,,8959.0,,,,,,-1527.0,,4201.0,1.0,,14320.0,,-566.0,-14288.0,,,10172.0,,,,,0.001,5000000.0,0.0,0.0,,,,,,9823.0,,-110086.0,,196.0,,,,,,,0
20,13559,,37070.0,,,0.0,,,3076.0,,,,,,,45000000.0,5073000.0,5073000.0,5073.0,,,,,,,,,,,,,,,,,,,,,,,-625.0,,,,,,,,,,,,,15520.0,0.0,,14320.0,,,,,,,,,,,0.001,5000000.0,0.0,0.0,,,,,,,,-122073.0,,,,,,,,,0
21,4827,,37070.0,,,,,,842.0,,,,,,,45000000.0,5073000.0,5073000.0,5073.0,,,,,,,,,,,,,,,,,,,,,,,-625.0,,,,,-8732.0,,,,,,,,27879.0,,,,,-567.0,,,,,,,,,0.001,5000000.0,,,,,,,,,,-134432.0,,,,,,,,5073000.0,0
22,8105,,,,,,,,842.0,,,,,,0.001,,,,,,,,,,,,,,,,,,,0.0,,,,,2288.0,-5164.0,-21586.0,,,,,,,,,,,,-2134.0,,,,,,,-14887.0,-21586.0,,,15411.0,,,,,,,,,,,,,,13123.0,,,,271.0,,,,,,,0
23,8179,,,,,,,,842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5454.0,,,,,,,,27879.0,,,,,-14887.0,,,,,,,,,,,,,,,,,,,,-134432.0,,,,,,,,,0
24,12353,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,1939.0,-667.0,-7298.0,,,,,,,,,,,,6446.0,,27879.0,,,,,,-7298.0,,,5239.0,,,,,,,,,,,,,,3300.0,,-134432.0,,75.0,-4200.0,,,,,,0
25,12353,,,,,,,,,,,,,,,,,,5073.0,,,,,,,,,,,,,,,,,,,,,-11987.0,,,,,,,-5380.0,,,,,,-6446.0,,27879.0,,,,,,,,,,,,,,,,,,,,,,,,,-134432.0,,,,,,,,5073000.0,0
26,12353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,2991.0,-11320.0,-667.0,,,,,,,,,,,,,,,,,,,,-34079.0,,,27989.0,,,,,,,,,,,,,,1000.0,,,,356.0,-15520.0,,,,,,0
27,12353,,37070.0,,,,,,,,,,,,,45000000.0,5073000.0,5073000.0,5073.0,,,,,,,,,,,,,,,0.0,,,,,594.0,-20410.0,-11987.0,,,,,,-1206.0,,,,,,,,30711.0,,,,,,,,,1794.0,,,,,0.001,5000000.0,,,,,,,,24998.0,,-137264.0,,10.0,,,,,,,0
28,12978,,37070.0,,,,,,888.0,,,,,,,45000000.0,5073000.0,5073000.0,5073.0,,,,,,,,,,,,,,,0.0,,,,,594.0,-27633.0,-20410.0,,,,,,625.0,,,,,,,,35313.0,,,,,,,,,13114.0,,,,,0.001,5000000.0,,,,,,,,,,-141866.0,,10.0,-20410.0,,,,,,0
29,13603,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,-8423.0,,,,,,1250.0,,,,,,,,38862.0,,,,,,-11987.0,,,,,,,,,,,,,,,,,12520.0,,-145415.0,,10.0,-27879.0,,,,,5073000.0,0
30,14228,,,,,,,,789.0,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,1229.0,,-34079.0,,,,,,1875.0,,,,,,,,38862.0,,,,,,,,,11320.0,,,,,,,,,,,,,,,,-145415.0,,10.0,-27789.0,,,,,,0
