,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AmortizationOfDeferredCharges,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentFaceAmount,DebtInstrumentIncreaseDecreaseForPeriodNet,DebtInstrumentIncreaseDecreaseOtherNet,DeferredOfferingCosts,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestmentOwnershipPercentage,GeneralAndAdministrativeExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeferredLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestPaidNet,InterestPayableCurrent,InvestmentOwnedBalanceShares,Liabilities,LiabilitiesAndStockholdersEquity,LoansPayable,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,PaymentOfFinancingAndStockIssuanceCosts,PaymentsOfStockIssuanceCosts,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,RepaymentsOfDebt,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,IncreaseDecreaseInOperatingLiabilities,OtherLiabilitiesCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,SharesIssuedPricePerShare,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,GainsLossesOnExtinguishmentOfDebt,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInOtherCurrentLiabilities,OtherNonoperatingIncomeExpense,DebtInstrumentDecreaseForgiveness,LeaseAndRentalExpense,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,AccountsReceivableNetCurrent,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessAcquisitionsProFormaRevenue,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,CashFDICInsuredAmount,CostOfGoodsAndServicesSold,DeferredRevenue,GrossProfit,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInventories,InventoryFinishedGoods,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,ProceedsFromPaymentsForOtherFinancingActivities,ProfessionalFees,RepaymentsOfRelatedPartyDebt,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForServices,y
10,0,,,,,,20051.0,,374.0,22874.0,,12090.0,,,,,,,,,,,,,,,,,,,,,,,,5578.0,,,6355.0,,,,,,,,,,,,12811.0,20051.0,,,,,,-4787.0,,4425.0,,,,,,,,,,,,-14160.0,,150.0,,,,,,,,0.0001,,,,,,,1056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,0,,20854.0,,,,2383.0,,2035.0,,,-2105.0,,0.0001,75000000.0,5461500.0,5461500.0,546.0,,,,,,,,,,7051.0,,0.0,,,,,,18246.0,0.0,0.0,1860.0,,,,,,,,,0.0,,,7811.0,2383.0,,,1200.0,,-21455.0,,,88213.0,-5578.0,,,,,,,,,2893.0,,-26828.0,0.0,88213.0,,,100000.0,,5451500.0,,,,,,,,,,24456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,0,,20854.0,,,,374.0,,2035.0,20629.0,,,,0.0001,75000000.0,5461500.0,5461500.0,546.0,,,,,,,,,,8251.0,,,,,,,,12668.0,,,1007.0,,,,,,,,,,,,9011.0,374.0,,,,,,-2861.0,,47884.0,,,,,,,,,,,,-30037.0,,47884.0,-26.0,,100000.0,,5461500.0,,,,,,,,,,16253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,0,,20854.0,,,,6314.0,,2035.0,20629.0,,,,0.0001,75000000.0,5461500.0,5461500.0,546.0,,,,,,,,,,2893.0,,0.0,,,,,,21455.0,,0.0,1916.0,,,,,,,,,0.0,,,19106.0,6314.0,,,10845.0,,-29439.0,,,91921.0,-18246.0,,,,,,,,,1905.0,,-34192.0,0.0,91921.0,-26.0,,100000.0,,5461500.0,,,,,,,,,,16253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,3284,,20854.0,,,,6314.0,,2035.0,20629.0,,,,0.0001,75000000.0,5461500.0,5461500.0,546.0,,,,,,,,,,2893.0,,0.0,,,,,,3209.0,,,,,,,,,,,,,,,19106.0,6314.0,,,,,,-7682.0,,28917.0,,,,,,,,,,0.0,,-34192.0,,28917.0,,,,,5461500.0,,,,,,,,,,28343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,4718,,,,,,6314.0,,,20629.0,,,,,,,,,,,,,,,,,,2893.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,19106.0,6314.0,,,100000.0,,-5901.0,-7682.0,,98307.0,-12668.0,,,,,,,,,0.0,,-34192.0,,92307.0,15713.0,,100000.0,,,,,,,,,,,,11569.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,6355,,,,,,6314.0,,96134.0,,,,,,,,,,,,,,,,,,,2893.0,,,,,,,,,,,,,,,,,,,,,,,19106.0,6314.0,,,,,,,,,,,,,,,,,,73727.0,,-34192.0,,,-15713.0,,,,,,,,,,,,,,9464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,1860,,,,,,,,71107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,100000.0,,-30928.0,-7682.0,,,-21455.0,,,,,,,,,,,,0.0,,12818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,1860,,120844.0,,,,96134.0,,24456.0,20051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,23015.0,96134.0,,,1905.0,,-949.0,-5578.0,,,,,,,,,,,,,,-48281.0,,,12818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,2867,,120844.0,,,,71107.0,,16253.0,,,,,0.0001,75000000.0,5461500.0,5461500.0,546.0,,,,,,,,,,2893.0,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,15515.0,71107.0,,,100000.0,,-77579.0,-5578.0,,,-3209.0,,,,,,,,,,,-65808.0,,,12818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,3435,,120844.0,,,,24456.0,,16253.0,2383.0,,,,0.0001,75000000.0,5461500.0,5461500.0,546.0,,,,,,,,,,2893.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,16748.0,24456.0,,,100000.0,,-85782.0,-5578.0,,,,,,,,,,,,,,-113692.0,,,12818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,15235,,131237.0,,,,16253.0,,28343.0,374.0,,,,0.0001,75000000.0,5461500.0,5461500.0,546.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,1860.0,16253.0,,,40000.0,,-27910.0,,,,-25610.0,,,,,,,,,,,-117400.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
