,AccountsPayableCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsSold,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DepositsAssetsCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SellingGeneralAndAdministrativeExpense,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
10,600,,30600.0,5000.0,5000.0,,0.0,,0.0,0.001,75000000.0,8100000.0,8100000.0,8100.0,,,,,,58681.0,0.0,,23838.0,,,0.0,,4265.0,,,,,,,28838,5000.0,,,28238.0,,,,-28238.0,,-25244.0,25244.0,-25244.0,,,,,,0.0,,4700.0,,,,-62538.0,,,,,,,0.0,,,8100000.0,0
11,600,,30600.0,5000.0,5000.0,,,,0.0,0.001,75000000.0,8100000.0,8100000.0,8100.0,,,,,,,,,,,,,,,,,,,,,28838,5000.0,,,,,,,,,-3271.0,3271.0,-3271.0,,,,,,0.0,,1600.0,11699.0,,,-62538.0,,,,,-33630.0,,0.0,,,,0
12,4865,,,5000.0,,0.0,,,,,,,,,,,,,,58681.0,,,,,,,,,,,,,,,38630,,,,,,,,,,-5700.0,5700.0,-5700.0,,,,,,,,,30443.0,,,,,,,,-42631.0,,,,,,0
13,1200,,,,,,,,,0.001,,,,,,,,,,58681.0,0.0,,10166.0,,,,,3394.0,,,,,,,34004,,,,4566.0,,,,-4566.0,,-14519.0,14519.0,-14519.0,,,,,,,,,,,,-72330.0,,,,,-59281.0,,,,,8100000.0,0
14,3994,,,0.0,0.0,0.0,,,,0.001,,,,,,,,,,113667.0,,,,,,,,,,,,,,,43931,0.0,,,,,,,,,-8819.0,8819.0,-8819.0,,,,,,,,21000.0,54986.0,,,-72704.0,,,,,,,,,,,0
15,600,,30600.0,1300.0,1300.0,0.0,,,,,75000000.0,8100000.0,8100000.0,8100.0,,,,,,127521.0,,,374.0,,,,,300.0,,,,,,,59281,1300.0,,,11699.0,,,,-11699.0,,-19845.0,19845.0,-19845.0,,,,,,,,21000.0,68839.0,,,-81331.0,,,,,-59281.0,,,,,,0
16,600,,,0.0,0.0,,,,,,200000000.0,,,,,,,,,147735.0,0.0,,18793.0,,,,,39797.0,,,,,,,59281,0.0,,,30443.0,,,,-30443.0,,-23238.0,23838.0,-23838.0,,,,,,,,21000.0,89054.0,,,,,,,,-59281.0,,,,,8100000.0,0
17,600,,30600.0,0.0,0.0,,,,,0.001,200000000.0,6000000.0,6000000.0,,,,,,,,,,,,,,,41751.0,,,,,,,59281,0.0,,,,,,,,,-23838.0,,,,,,,,,,0.0,,,,-97981.0,,,,,-114567.0,,,,,,0
18,600,,30600.0,,,,,,,0.001,75000000.0,6000000.0,6000000.0,8100.0,,,,,,,,,8627.0,,,,,,,,,,,,59281,,,,54986.0,,,,-54986.0,,-9792.0,9792.0,-9792.0,,,,,,,,0.0,,,,-97981.0,,,,,-150522.0,,,,,,0
19,900,,,,,,,,,,75000000.0,8100000.0,8100000.0,8100.0,,,,,,,,,,,,,,,,,,,,,114567,,,,68839.0,,,,-68839.0,,,,,,,,,,,,0.0,,,,-97981.0,,,,,-183569.0,,,,,,0
20,23001,,,,,,,,,,,,,,,,,,,,0.0,,35443.0,,,,,,,,,,,,150522,,,,84491.0,,,,-84491.0,,-10166.0,10166.0,-10166.0,,,,,,,,0.0,,,,-153267.0,,,,,-190086.0,,,,,8100000.0,0
21,40397,,30600.0,,,,,,,,200000000.0,8100000.0,8100000.0,,,,,,,,,,,,,,,,,,,,,,183569,,,,89054.0,,,,-89054.0,,,,,,,,,,,,,,,,-189222.0,,,,,,,,,,,0
22,42351,,,,,0.0,,,,,,8100000.0,8100000.0,8100.0,,,,,,,0.0,,55286.0,,,,,,,,,,,,190086,,,,,,,,,,-374.0,374.0,-374.0,,,,,,,,,,,,-222269.0,,,,,,,,,,8100000.0,0
